id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
,,15000,15000,15000, 60 months,12.39%,336.64,C,C1,MANAGEMENT,10+ years,RENT,78000,Source Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,235xx,VA,12.03,0,Aug-94,0,,,6,0,138008,29%,17,w,0,0,17392.37,17392.37,15000,2392.37,0,0,0,Jun-16,12017.81,,Sep-21,0,,1,Individual,,,,0,0,149140,,,,,,,,,,,,184500,,,,5,29828,9525,4.7,0,0,103,244,1,1,0,47,,,,0,1,4,1,2,8,5,9,4,6,0,0,0,4,100,0,0,0,196500,149140,10000,12000
,,10400,10400,10400, 36 months,6.99%,321.08,A,A3,Truck Driver Delivery Personel,8 years,MORTGAGE,58000,Not Verified,Dec-14,Charged Off,n,,,credit_card,Credit card refinancing,937xx,CA,14.92,0,Sep-89,2,42,,17,0,6133,31.60%,36,w,0,0,6611.69,6611.69,5217.75,872.67,0,521.27,93.8286,Aug-16,321.08,,Feb-17,0,59,1,Individual,,,,0,0,162110,,,,,,,,,,,,19400,,,,7,9536,7599,41.5,0,0,76,290,1,1,1,5,42,1,42,4,6,9,7,18,2,14,32,9,17,0,0,0,4,83.3,14.3,0,0,179407,15030,13000,11325
,,7650,7650,7650, 36 months,13.66%,260.2,C,C3,Technical Specialist,< 1 year,RENT,50000,Source Verified,Dec-14,Charged Off,n,,,debt_consolidation,Debt consolidation,850xx,AZ,34.81,0,Aug-02,1,,,11,0,16822,91.90%,20,f,0,0,2281.98,2281.98,704.38,339.61,0,1237.99,222.8382,Aug-15,17.7,,Nov-21,0,,1,Individual,,,,0,0,64426,,,,,,,,,,,,18300,,,,6,5857,332,93.2,0,0,137,148,8,8,0,17,,3,,0,1,4,1,4,12,4,8,4,11,0,0,0,2,100,100,0,0,82331,64426,4900,64031
,,12800,12800,12800, 60 months,17.14%,319.08,D,D4,Senior Sales Professional,10+ years,MORTGAGE,125000,Verified,Dec-14,Fully Paid,n,,,car,Car financing,953xx,CA,8.31,1,Oct-00,0,17,,8,0,5753,100.90%,13,w,0,0,19165.35192,19165.35,12800,6365.35,0,0,0,Sep-19,1576.08,,Oct-21,0,36,1,Individual,,,,0,0,261815,,,,,,,,,,,,5700,,,,2,32727,0,103.2,0,0,16,170,21,16,5,21,17,1,17,1,3,5,3,5,1,5,7,5,8,0,0,0,0,76.9,100,0,0,368700,18007,4400,18000
,,21425,21425,21425, 60 months,15.59%,516.36,D,D1,Programming Analysis Supervisor,6 years,RENT,63800,Source Verified,Dec-14,Fully Paid,n,,,credit_card,Credit card refinancing,658xx,MO,18.49,0,Aug-03,0,60,,10,0,16374,76.20%,35,w,0,0,25512.2,25512.2,21425,4087.2,0,0,0,May-16,17813.19,,Apr-18,0,74,1,Individual,,,,0,0,42315,,,,,,,,,,,,21500,,,,4,4232,324,97.8,0,0,135,136,7,7,0,7,60,7,60,1,3,4,3,12,16,5,18,4,10,0,0,0,2,91.4,100,0,0,57073,42315,15000,35573
,,9600,9600,9600, 36 months,13.66%,326.53,C,C3,Admin Specialist,10+ years,RENT,69000,Source Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,077xx,NJ,25.81,0,Nov-92,0,,,12,0,16388,59.40%,44,f,0,0,9973.43,9973.43,9600,373.43,0,0,0,Apr-15,9338.58,,Dec-20,0,,1,Individual,,,,0,0,38566,,,,,,,,,,,,27600,,,,8,3214,6494,69.2,0,0,183,265,23,3,0,24,,17,,0,4,7,5,16,17,8,26,7,12,0,0,0,3,100,60,0,0,52490,38566,21100,24890
,,12975,12975,12975, 36 months,17.86%,468.17,D,D5,Sales,10+ years,RENT,60000,Source Verified,Dec-14,Charged Off,n,,,house,Home buying,331xx,FL,22.42,0,Jan-99,0,48,,11,0,5200,33.10%,19,f,0,0,5746.89,5746.89,2628.14,1603.2,0,1515.55,272.799,Mar-16,50,,Jun-21,0,,1,Individual,,,,0,900,17281,,,,,,,,,,,,15700,,,,7,1571,2604,52.7,0,0,191,122,2,2,0,6,,1,,0,3,8,3,6,6,9,13,8,11,0,0,0,4,89.5,0,0,0,42943,17281,5500,27243
,,16000,16000,16000, 60 months,11.44%,351.4,B,B4,Foreign Service Officer,6 years,OWN,109777,Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,201xx,VA,11.63,1,Nov-03,0,12,,7,0,7253,60.40%,14,w,0,0,18586.72,18586.72,16000,2586.72,0,0,0,Sep-16,4935.54,,Oct-16,0,,1,Individual,,,,0,0,373743,,,,,,,,,,,,12000,,,,3,53392,2559,72.2,0,0,121,133,17,17,2,80,33,17,33,0,2,3,3,6,2,5,10,3,7,0,0,0,0,71.4,66.7,0,0,428032,34475,9200,33000
,,5250,5250,5250, 36 months,11.44%,172.98,B,B4,Store Manager,2 years,RENT,26000,Not Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,208xx,MD,14.36,0,May-09,0,,,8,0,4448,20.20%,13,f,0,0,5431.68,5431.68,5250,181.68,0,0,0,May-15,43.4,,Apr-15,0,,1,Individual,,,,0,0,10133,,,,,,,,,,,,22000,,,,4,1267,12152,26.8,0,0,33,67,12,6,0,16,,,,0,2,2,3,4,3,6,9,2,8,0,0,0,2,100,0,0,0,29971,10133,16600,6000
,,2500,2500,2500, 36 months,11.99%,83.03,B,B5,Manufacturing Engineer,< 1 year,MORTGAGE,89000,Source Verified,Dec-14,Fully Paid,n,,,home_improvement,Home improvement,554xx,MN,13.77,0,Oct-01,1,55,,9,0,22908,94.30%,32,f,0,0,2622.22,2622.22,2500,122.22,0,0,0,Jun-15,2294.26,,Jul-21,0,,1,Individual,,,,0,0,397223,,,,,,,,,,,,24300,,,,6,44136,1333,86.4,0,0,158,148,24,6,5,24,,2,,0,3,4,3,6,17,4,10,4,9,0,0,0,1,96.8,66.7,0,0,415290,61606,9800,47946
,,17000,17000,17000, 36 months,13.66%,578.22,C,C3,Deputy sheriff,10+ years,MORTGAGE,75000,Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,144xx,NY,23.63,0,Jan-01,0,46,,7,0,5063,46.40%,31,f,0,0,19562.31,19562.31,17000,2562.31,0,0,0,May-16,10888.01,,Dec-21,0,51,1,Individual,,,,0,0,122193,,,,,,,,,,,,10900,,,,2,17456,71,98.2,0,0,93,167,21,10,2,27,46,,46,2,1,3,1,7,4,4,25,3,7,0,0,0,1,87.1,100,0,0,147270,36205,4000,41370
,,23325,23325,23325, 36 months,14.31%,800.71,C,C4,Teacher,10+ years,RENT,72000,Source Verified,Dec-14,Charged Off,n,,,credit_card,Credit card refinancing,982xx,WA,27.03,1,Oct-98,0,1,,14,0,32372,82.20%,23,f,0,0,13907.79,13907.79,7301.23,3061.64,0,3544.92,638.0856,Feb-16,800.71,,Oct-16,0,,1,Individual,,,,0,0,393558,,,,,,,,,,,,39400,,,,6,39356,3977,89,0,0,132,194,15,12,6,23,,16,1,0,3,5,7,9,4,10,13,5,14,0,0,0,1,95.7,66.7,0,0,443889,79490,36000,78126
,,21075,21075,21075, 60 months,21.99%,581.95,E,E5,Paralegal,10+ years,MORTGAGE,55000,Source Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,606xx,IL,29.5,0,Nov-87,0,26,,14,0,15955,88.60%,21,f,0,0,34852.49564,34852.5,21075,13777.5,0,0,0,Dec-19,581.82,,Jan-20,0,,1,Individual,,,,0,0,262274,,,,,,,,,,,,18000,,,,0,20175,1468,91,0,0,160,205,30,30,1,30,26,10,26,2,3,4,3,6,7,5,11,4,14,0,0,0,0,76.2,100,0,0,300308,62443,16300,55441
,,10000,10000,10000, 36 months,11.99%,332.1,B,B5,Investment Consultant,8 years,RENT,90000,Verified,Dec-14,Charged Off,n,,,debt_consolidation,Debt consolidation,483xx,MI,8.44,0,Jul-03,1,,,5,0,23723,98%,10,f,0,0,6957.45,6957.45,5395.29,1562.16,0,0,0,Oct-16,332.1,,Aug-17,0,,1,Individual,,,,0,0,23723,,,,,,,,,,,,24200,,,,0,4745,324,98.5,0,0,137,124,40,31,0,42,,3,,0,4,5,4,6,2,5,8,5,5,0,0,0,0,100,100,0,0,24200,23723,21200,0
,,3000,3000,3000, 36 months,10.49%,97.5,B,B3,Respiratory Therapist,9 years,RENT,60000,Not Verified,Dec-14,Fully Paid,n,,,medical,Medical expenses,926xx,CA,9.54,0,Jun-95,0,77,,7,0,4936,42.60%,18,f,0,0,3453.260603,3453.26,3000,453.26,0,0,0,Feb-17,1117.63,,Sep-21,0,,1,Individual,,,,0,0,22809,,,,,,,,,,,,11600,,,,2,3258,552,85.8,0,0,234,138,27,3,0,27,77,,77,0,2,3,2,6,6,5,12,3,7,0,0,0,1,77.8,100,0,0,30454,22809,3900,18854
,,2000,2000,2000, 36 months,14.99%,69.33,C,C5,practice plan associate,8 years,RENT,32200,Not Verified,Dec-14,Fully Paid,n,,,credit_card,Credit card refinancing,112xx,NY,22.14,0,Sep-96,0,,95,10,1,9544,62.40%,21,f,0,0,2101.52,2101.52,2000,101.52,0,0,0,May-15,1897.69,,Oct-19,0,,1,Individual,,,,0,0,20539,,,,,,,,,,,,15300,,,,6,2054,3636,72.2,0,0,27,219,8,4,0,8,,14,,0,5,6,6,10,4,8,17,6,10,0,0,0,4,100,83.3,1,0,27300,20539,13100,12000
,,2000,2000,2000, 36 months,15.99%,70.31,D,D2,Student Services Coordinator,7 years,RENT,37000,Not Verified,Dec-14,Fully Paid,n,,,other,Other,852xx,AZ,16.19,2,Dec-93,1,5,,9,0,4533,20.10%,22,f,0,0,2375.95,2375.95,2000,375.95,0,0,0,Jun-16,1255.43,,Jun-16,0,,1,Individual,,,,0,0,19342,,,,,,,,,,,,22500,,,,6,2149,390,90.2,0,0,136,252,3,3,0,3,9,3,5,0,1,2,1,6,7,8,15,2,9,0,0,0,3,90.9,100,0,0,43137,19342,4000,20637
